Código,Nombre,Peso (kg/m),Largo (m)
01004,"T 24,0 X 24,0 X 0,9mm",0.112,6.05
01005,,,
01006,"T 25,0 X 25,0 X 1,0mm",0.121,6.05
01007,,,
01008,,,
01009,"T 32,0 X 32,0 X 2,5mm",0.425,6.05
01010,,,
01011,"T 25,0 X 38,0 x 1,0mm",0.17,6.05
01012,,,
01013,,,
01014,,,
01015,,,
01016,,0.427,
01017,,,
01018,,,
01019,,,
01020,,,
01021,,,
01022,,,
01023,,,
01024,,,
01025,,,
01026,,,
01027,,,
01028,,,
01029,,,
01030,,,
01031,,,
01032,,,
01033,,,
01034,,,
01035,,,
01036,,,
01037,,,
01038,,0.129,
01039,"T25,0 x 38,0 x 1,5mm",0.254,6.05
01040,,,
01041,"T20,0 x 30,0 x 1,0mm",0.134,6.05
01042,,,
01043,,,
01044,,,
01045,,,
01046,,,
01047,,,
01048,"U 10,0 x 20,0 x 1,5mm",0.19,6.05
01049,"U 12,0 x 21,8 x 1,2mm",0.18,6.05
01050,"U 10,0 x 9,0 x 2,0mm",0.13,
01051,"U 10,0 x 10,0 x 1,5mm",0.107,6.05
01052,,,
01053,"U 12,0 x 12,0 x 1,2mm",0.11,6.05
01054,,0.175,
01055,,,
01056,,,
01057,,,
01058,,,
01059,"U 15,5 x 28,0 x 1,6mm BLINDEX",0.3,
01060,,,
01061,"U 15,8 x 15,8 x 1,2mm",0.148,6.05
01062,,0.311,
01063,"U 16,1 x 13,00 x 1,6mm",0.165,6.05
01064,,,
01065,"U 19,2 x 6,8 x 2mm",0.152,6.05
01066,,0.349,
01067,"U 20,0 x 10,0 x 1,5mm",0.151,6.05
01068,"U 20,0 x 20,0 x 2,3mm",0.35,6.05
01069,,0.174,
01070,"U 21,8 x 12,0 x 1,3mm",0.151,6.05
01071,"U 24,7 x 9,0 x 1,6mm",0.17,6.05
01072,,,
01073,"U 29,5 x 12,2 x 1,6mm",0.221,6.05
01074,"U 31,5 x 12,5 x 1,5mm",0.22,6.05
01075,,,
01076,,0.941,
01077,"U 15,0 x 28,0 x 1,2mm ",0.2,6.05
01078,,,
01079,"U 15,0 x 15,0 x 1,5mm",0.17,6.05
01080,U  25x20x2mm,0.335,6.05
01081,,,
01082,,0.188,6.05
01083,"U 22,0 x 12,0 x 1,0mm",0.121,6.05
01084,"U 23 x 17 x 1,5mm",0.219,6.05
01085,,0.666,6.05
01086,"U 11,0 x 17,0 x 1,5mm",0.173,6.05
01087,,,
01088,,,
01089,,,
01090,,,
01091,,,
01092,"U 25,0 x 25,0 x 2,0mm",0.297,6.05
01093,"U 12,8 x 12,8 x 2,7mm",0.24,6.05
01094,"U 63,1 x 30,0 x 1,2mm",0.395,6.05
01095,"U 15,0 x 40,0 x 1,3mm",0.33,6.05
01096,,,
01097,,,
01098,,,
01099,,,
01100,"CAÑO CUADRADO 15,0 x 15,0 x 1,3mm",0.195,6.05
01101,"CAÑO CUADRADO 20,0 x 20,0 x 1,3mm",0.267,6.05
01102,"CAÑO CUADRADO 25,0 x 25,0 x 1,5mm",0.381,6.05
01103,"CAÑO CUADRADO 30,0 x 30,0 x 1,5mm",0.463,6.05
01104,"CAÑO CUADRADO 40,0 x 40,0 x 3,0mm",1.2,6.05
01105,"CAÑO CUADRADO 40,0 x 40,0 x 2,0mm",0.836,6.05
01106,"CAÑO CUADRADO 50,0 x 50,0 x 3,0mm",1.552,6.05
01107,"CAÑO CUADRADO 60,0 x 60,0 x 1,3mm",0.842,6.05
01108,"CAÑO CUADRADO 40,0 x 40,0 x 1,3mm",0.554,6.05
01109,"CAÑO CUADRADO 75,0 x 75,0 x 2mm",1.608,6.05
01110,"CAÑO CUADRADO 100,0 x 100,0 x 2mm",2.159,6.05
01200,,,
01201,,,
01202,"CAÑO RECTANGULAR 10,0 x 16,0 x 1,0mm",0.13,6.05
01203,"CAÑO RECTANGULAR 10,0 x 20,0 x 1,0mm",0.16,6.05
01204,"CAÑO RECTANGULAR 60,0 x 30,0 x 1mm",0.484,6.05
01205,"CAÑO RECTANGULAR 50,0 x 15,0 x 1,5mm",0.512,6.05
01206,"CAÑO RECTANGULAR 20,0 x 60,0 x 1,5mm",0.64,6.05
01207,"CAÑO RECTANGULAR 50,0 x 25,0 x 1,5mm",0.6,6.05
01208,"CAÑO RECTANGULAR 60,0 x 25,0 x 1,5mm",0.676,6.05
